Holding,Symbol,Weighting
Kvaerner ASA,KVAER,0.0013%
Akastor ASA,AKA,0.0013%
Mennica Polska SA,MNC,0.0012%
Asseco Business Solutions SA,ABS,0.0012%
Apator SA,APT,0.0012%
Playway SA,PLW,0.0012%
Arcus ASA,ARCUS,0.0012%
MPC Container Ships ASA,MPCC,0.0011%
Afarak Group Plc,AFAGR,0.0011%
Sanok Rubber Company SA,SNK,0.0011%
Fabryki Mebli Forte SA,FTE,0.001%
Lubelski Wegiel Bogdanka SA,LWB,0.001%
Agora SA,AGO,0.001%
Netia SA,NET,0.001%
Enter Air SA,ENT,0.0009%
AC SA,ACG,0.0009%
Ryvu Therapeutics SA,RVU,0.0009%
Stalprodukt SA,STP,0.0009%
Polenergia SA,PEP,0.0009%
MLP Group SA,MLG,0.0008%
Magseis Fairfield ASA,MSEIS,0.0008%
Boryszew SA,BRS,0.0008%
Fabryka Farb i Lakierow Sniezka SA,SKA,0.0008%
Auto Partner SA,APR,0.0007%
AB SA,ABE,0.0007%
Rainbow Tours SA,RBW,0.0007%
Stalexport Autostrady SA,STX,0.0007%
Bank Ochrony Srodowiska SA,BOS,0.0006%
Polski Bank Komorek Macierzystych SA,BKM,0.0006%
Atal SA,1AT,0.0006%
Comp SA,CMP,0.0006%
PCC Rokita SA,PCR,0.0005%
Selvita SA,SLV,0.0005%
Zespol Elektrowni Patnow Adamow Konin SA,ZEP,0.0005%
Zespol Elektrocieplowni Wroclawskich Kogeneracja SA,KGN,0.0005%
Elemental Holding SA,EMT,0.0005%
Firma Oponiarska Debica SA,DBC,0.0004%
Polimex Mostostal SA,PXM,0.0004%
Bioton SA,BIO,0.0004%
Mangata Holding SA,MGT,0.0004%
Ambra SA,AMB,0.0004%
Wielton SA,WLT,0.0003%
Getin Noble Bank SA,GNB,0.0003%
Getin Holding SA,GTN,0.0003%
MCI Capital SA,MCI,0.0003%
Poznanska Korporacja Budowlana Pekabex SA,PBX,0.0002%
Polnord SA,PND,0.0002%
Zaklady Tluszczowe Kruszwica SA,KSW,0.0002%
Medicalgorithmics SA,MDG,0.0002%
