Holding,Symbol,Weighting
Henkel AG & Co KGaA,HEN,0.0844%
Kuehne und Nagel International AG,KNIN,0.084%
Terna Rete Elettrica Nazionale SpA,TRN,0.0838%
Smiths Group PLC,SMIN,0.0813%
Delivery Hero SE,DHER,0.081%
Alstom SA,ALO,0.0806%
Bunzl plc,BNZL,0.0803%
Land Securities Group PLC,LAND,0.0803%
Baloise Holding AG,BALN,0.0802%
Galapagos NV,GLPG,0.0799%
Klepierre SA,LI,0.0799%
Swiss Prime Site AG,SPSN,0.0797%
EQT AB,EQT,0.0791%
Moncler SpA,MONC,0.0791%
Croda International PLC,CRDA,0.0786%
ABN Amro Bank NV,ABN,0.0779%
TechnipFMC PLC,FTI,0.0779%
Spirax-Sarco Engineering PLC,SPX,0.0777%
Skanska AB,SKA.B,0.0773%
Exor NV,EXO,0.0772%
Investor AB,INVE.A,0.0768%
Accor SA,AC,0.0768%
Roche Holding AG,RO,0.0766%
AP Moeller - Maersk A/S,MAERSK.B,0.0764%
Galp Energia SGPS SA,GALP,0.0763%
Gecina SA,GFC,0.0763%
DCC PLC,DCC,0.0762%
M&G PLC,MNG,0.0761%
United Utilities Group PLC,UU.,0.0759%
Solvay SA,SOLB,0.0757%
Red Electrica Corporacion SA,REE,0.0755%
Ryanair Holdings PLC,RYAAY,0.0755%
Stora Enso Oyj,STERV,0.0754%
Groep Brussel Lambert NV,GBLB,0.0753%
Brenntag AG,BNR,0.0749%
Taylor Wimpey PLC,TW.,0.0746%
Smurfit Kappa Group PLC,SK3,0.0744%
Whitbread PLC,WTB,0.0743%
Atos SE,ATO,0.074%
Elisa Oyj,ELISA,0.0736%
Aegon NV,AGN,0.0734%
Logitech International SA,LOGN,0.0732%
International Consolidated Airlines Group SA,IAG,0.0731%
Valeo SA,FR,0.073%
Naturgy Energy Group SA,NTGY,0.0726%
Endesa SA,ELE,0.0724%
OMV AG,OMV,0.0722%
Orkla ASA,ORK,0.0718%
St. James's Place PLC,STJ,0.0718%
Vifor Pharma AG,VIFN,0.0717%
Swatch Group AG,UHR,0.0716%
Berkeley Group Holdings PLC,BKG,0.0714%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,0.0708%
ITV PLC,ITV,0.0706%
Severn Trent PLC,SVT,0.0703%
Aroundtown SA,AT1,0.07%
Qiagen NV,QIA,0.07%
Chr Hansen Holding A/S,CHR,0.0699%
Epiroc AB,EPI.A,0.0692%
LEG Immobilien AG,LEG,0.0691%
RSA Insurance Group PLC,RSA,0.0688%
Getlink SE,GET,0.0685%
Zalando SE,ZAL,0.0684%
Bureau Veritas SA,BVI,0.0683%
AB Skf,SKF.B,0.0681%
Johnson Matthey PLC,JMAT,0.0681%
FinecoBank Banca Fineco SpA,FBK,0.0677%
Sartorius AG,SRT3,0.0675%
Rightmove PLC,RMV,0.0673%
Alfa Laval AB,ALFA,0.0667%
Carnival PLC,CCL,0.0664%
Tele2 AB,TEL2.B,0.0662%
Randstad NV,RAND,0.0656%
Arkema SA,AKE,0.0655%
Boliden AB,BOL,0.0652%
Scor SE,SCR,0.0643%
Siemens Healthineers AG,SHL,0.0639%
GVC Holdings PLC,GVC,0.0638%
Covestro AG,1COV,0.0635%
British Land Company PLC,BLND,0.0634%
Phoenix Group Holdings PLC,PHNX,0.0634%
Coca Cola HBC AG,CCH,0.0632%
Yara International ASA,YAR,0.0631%
Mediobanca Banca di Credito Finanziario SpA,MB,0.0626%
Admiral Group PLC,ADM,0.0624%
Hargreaves Lansdown PLC,HL.,0.0623%
Meggitt PLC,MGGT,0.0616%
Auto Trader Group PLC,AUTO,0.0611%
Puma SE,PUM,0.0609%
Banco de Sabadell SA,SAB,0.0608%
Centrica PLC,CNA,0.0605%
Ingenico Group SA,ING,0.0603%
Just Eat PLC,JE.,0.0603%
Eurofins Scientific SE,ERF,0.0601%
Scout24 AG,G24,0.0595%
Polski Koncern Naftowy Orlen SA,PKN,0.0595%
thyssenkrupp AG,TKA,0.0594%
Ubisoft Entertainment SA,UBI,0.0588%
Lundin Petroleum AB,LUPE,0.0585%
Pearson PLC,PSON,0.0584%
DS Smith PLC,SMDS,0.0581%
Volkswagen AG,VOW,0.0579%
Commerzbank AG,CBK,0.0577%
Prysmian SpA,PRY,0.0571%
